Name;Constitutional form;Head of state;Basis of executive legitimacy;Additional information
Afghanistan;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Albania;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Algeria;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
Andorra;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Angola;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Antigua and Barbuda;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Argentina;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Armenia;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Australia;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Austria;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Azerbaijan;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Bahrain;Constitutional monarchy;Executive;Monarch personally exercises power in concert with other institutions;constituional monarchies - Monarch exercise power
Bangladesh;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Barbados;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Belarus;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Belgium;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Belize;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Benin;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Bhutan;Constitutional monarchy;Executive;Monarch personally exercises power in concert with other institutions;constituional monarchies - Monarch exercise power
Bolivia;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Bosnia and Herzegovina;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Botswana;Republic;Executive;"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence";presidential republics - executive presidency
Brazil;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Brunei;Absolute monarchy;Executive;All authority vested in absolute monarch; - 
Bulgaria;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Burkina Faso;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
Burundi;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Cambodia;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Cameroon;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Canada;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Cape Verde;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Central African Republic;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Chad;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Chile;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Colombia;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Comoros;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Costa Rica;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Cote d'Ivoire;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
Croatia;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Cuba;Republic;Executive;Power constitutionally linked to a single political movement;republic - single dominent party codified in consitution
Cyprus;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Czech Republic;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Democratic Republic of the Congo;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
Denmark;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary monarchies - Monarch does not exercise power
Djibouti;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
Dominica;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Dominican Republic;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
East Timor;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
Ecuador;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Egypt;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence";presidential republics - semi-presidential system
El Salvador;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Equatorial Guinea;Republic;Executive;Presidency is independent of legislature;presidential republics - full presidential system
Eritrea;Republic;Executive;Power constitutionally linked to a single political movement;republic - single dominent party codified in consitution
Estonia;Republic;Ceremonial;Ministry is subject to parliamentary confidence;parliamentary republics - 
